阶段,分组,小组排名,球队,球员姓名,位置,号码,国籍,出生日期,年龄,身高(cm),体重(kg),球员来源ID,照片URL
世界杯小组赛,Group E,4,Cura?ao,Tyrese NOSLIN,FW,13,CUW,2002/9/11,23,182,76,506473,https://digitalhub.fifa.com/transform/5a1d79e4-2beb-4cc4-aa5d-adea0d32896c/NOSLIN-Tyrese_506473
世界杯小组赛,Group E,4,Cura?ao,Kenji GORRE,FW,14,CUW,1994/9/29,31,174,71,466352,https://digitalhub.fifa.com/transform/115a2099-2406-4ca6-8905-91cc71efc98d/GORRE-Kenji_466352
世界杯小组赛,Group E,4,Cura?ao,Jearl MARGARITHA,FW,16,CUW,2000/4/10,26,181,73,466363,https://digitalhub.fifa.com/transform/c0d47ad2-fcb1-4d7f-b854-99b99cc0cadf/MARGARITHA-Jearl_466363
世界杯小组赛,Group E,4,Cura?ao,Brandley KUWAS,FW,17,CUW,1992/9/19,33,181,70,466346,https://digitalhub.fifa.com/transform/e68cdb21-7918-4de8-8a37-8d3f1127184b/KUWAS-Brandley_466346
世界杯小组赛,Group E,4,Cura?ao,Gervane KASTANEER,FW,19,CUW,1996/6/9,30,189,80,466372,https://digitalhub.fifa.com/transform/18bea3a9-68ef-4e35-ae04-2d494b39971e/KASTANEER-Gervane_466372
世界杯小组赛,Group A,4,Czechia,Matej KOVAR,GK,1,CZE,2000/5/17,26,196,83,484012,https://digitalhub.fifa.com/transform/06f2bdbf-6411-4f1c-885b-3c745e37363e/KOVAR-Matej_484012
世界杯小组赛,Group A,4,Czechia,Jindrich STANEK,GK,16,CZE,1996/4/27,30,192,90,441162,https://digitalhub.fifa.com/transform/9351d9a7-4be7-4c59-8e0e-3f5fbca8ac7d/STANEK-Jindrich_441162
世界杯小组赛,Group A,4,Czechia,Lukas HORNICEK,GK,23,CZE,2002/7/13,23,198,90,511118,https://digitalhub.fifa.com/transform/d76a995c-dcd7-4219-a555-3336ac87b052/HORNICEK-Lukas_511118
世界杯小组赛,Group A,4,Czechia,David Zima,DF,2,CZE,2000/11/8,25,190,80,433755,https://digitalhub.fifa.com/transform/945f505c-6f7b-4a43-acc1-5e3fa1bb52b3/ZIMA-David_433755
世界杯小组赛,Group A,4,Czechia,Tomas HOLES,DF,3,CZE,1993/3/31,33,180,73,441167,https://digitalhub.fifa.com/transform/25d4147e-8cc2-4262-bba5-3e47680a3f23/HOLES-Tomas_441167
世界杯小组赛,Group A,4,Czechia,Robin HRANAC,DF,4,CZE,2000/1/29,26,189,80,486080,https://digitalhub.fifa.com/transform/9550c125-89e2-497f-a098-bcdceb0243e7/HRANAC-Robin_486080
世界杯小组赛,Group A,4,Czechia,Vladimir COUFAL,DF,5,CZE,1992/8/22,33,175,76,472908,https://digitalhub.fifa.com/transform/e013f16f-8ada-4532-b3c4-b674b0e08cc9/COUFAL-Vladimir_472908
世界杯小组赛,Group A,4,Czechia,Stepan CHALOUPEK,DF,6,CZE,2003/3/8,23,188,68,514334,https://digitalhub.fifa.com/transform/35d513e7-429b-44eb-b1bd-671a6a22bc83/CHALOUPEK-Stepan_514334
世界杯小组赛,Group A,4,Czechia,Ladislav KREJCI,DF,7,CZE,1999/4/20,27,191,86,441170,https://digitalhub.fifa.com/transform/04ca9e4e-8ab3-458e-a689-2ac49094fb23/KREJCI-Ladislav_441170
世界杯小组赛,Group A,4,Czechia,David JURASEK,DF,14,CZE,2000/8/7,25,183,77,483990,https://digitalhub.fifa.com/transform/4e32c53e-28e4-4757-ab4e-c7b18cee9bbf/JURASEK-David_483990
世界杯小组赛,Group A,4,Czechia,Jaroslav ZELENY,DF,20,CZE,1992/8/20,33,190,81,441166,https://digitalhub.fifa.com/transform/33dbf631-0d45-4f04-9feb-bf0c76ad9f8e/ZELENY-Jaroslav_441166
世界杯小组赛,Group A,4,Czechia,David DOUDERA,DF,21,CZE,1998/5/31,28,175,66,483936,https://digitalhub.fifa.com/transform/04fa0573-e1fa-4158-a14d-7129641cc700/DOUDERA-David_483936
世界杯小组赛,Group A,4,Czechia,Vladimir DARIDA,MF,8,CZE,1990/8/8,35,172,67,358003,https://digitalhub.fifa.com/transform/201b5e1b-25b8-4cd6-a8fa-2678977172fe/DARIDA-Vladimir_358003
世界杯小组赛,Group A,4,Czechia,Lukas CERV,MF,12,CZE,2001/4/10,25,182,72,486081,https://digitalhub.fifa.com/transform/87ce4b61-fd6d-4ca3-901d-6dfe039dd809/CERV-Lukas_486081
世界杯小组赛,Group A,4,Czechia,Lukas PROVOD,MF,17,CZE,1996/10/23,29,191,85,484011,https://digitalhub.fifa.com/transform/e5e6a265-9886-4e25-97c0-c4f2f230277d/PROVOD-Lukas_484011
世界杯小组赛,Group A,4,Czechia,Michal SADILEK,MF,18,CZE,1999/5/31,27,169,65,433668,https://digitalhub.fifa.com/transform/00599f60-d24b-4377-b1c2-03bda4f835be/SADILEK-Michal_433668
世界杯小组赛,Group A,4,Czechia,Tomas SOUCEK,MF,22,CZE,1995/2/27,31,192,82,404885,https://digitalhub.fifa.com/transform/eb34bfe6-5b60-4771-a303-40f68231bbd2/SOUCEK-Tomas_404885
世界杯小组赛,Group A,4,Czechia,Alexandr SOJKA,MF,24,CZE,2003/4/2,23,188,77,523097,https://digitalhub.fifa.com/transform/f8e5df75-7de8-4950-bb53-b1d950621d33/SOJKA-Alexandr_523097
世界杯小组赛,Group A,4,Czechia,Hugo SOCHUREK,MF,25,CZE,2008/6/7,18,183,78,506775,https://digitalhub.fifa.com/transform/72b960f8-5b10-4a9d-8726-6525e2ee6796/SOCHUREK-Hugo_506775
世界杯小组赛,Group A,4,Czechia,Adam HLOZEK,FW,9,CZE,2002/7/25,23,188,84,433754,https://digitalhub.fifa.com/transform/530c1ea8-c013-4858-bb7d-0b71a763a1a1/HLOZEK-Adam_433754
世界杯小组赛,Group A,4,Czechia,Patrik Schick,FW,10,CZE,1996/1/24,30,191,87,401481,https://digitalhub.fifa.com/transform/725e8c7e-c712-45be-9e0a-ec5b121e84ad/SCHICK-Patrik_401481
世界杯小组赛,Group A,4,Czechia,Jan KUCHTA,FW,11,CZE,1997/1/8,29,185,86,441171,https://digitalhub.fifa.com/transform/e5ab58c0-de70-4e60-afdd-0cacec12decb/KUCHTA-Jan_441171
世界杯小组赛,Group A,4,Czechia,Mojmir CHYTIL,FW,13,CZE,1999/4/29,27,187,83,484003,https://digitalhub.fifa.com/transform/8b7fe7be-c13f-4245-9a48-470a88d95aa9/CHYTIL-Mojmir_484003
世界杯小组赛,Group A,4,Czechia,Pavel SULC,FW,15,CZE,2000/12/29,25,177,75,486082,https://digitalhub.fifa.com/transform/a45ca4c8-04d9-4321-a100-1e57b2d7bbda/SULC-Pavel_486082
世界杯小组赛,Group A,4,Czechia,Tomas CHORY,FW,19,CZE,1995/1/26,31,199,100,483961,https://digitalhub.fifa.com/transform/566b2c11-0ed7-4ad0-8e39-2e8a6fb4ba94/CHORY-Tomas_483961
世界杯小组赛,Group A,4,Czechia,Denis VISINSKY,FW,26,CZE,2003/3/21,23,178,75,519985,https://digitalhub.fifa.com/transform/60b4e376-f163-4918-8742-a2f6ada5fc84/VISINSKY-Denis_519985
世界杯小组赛,Group E,2,C?te d'Ivoire,Yahia Fofana,GK,1,CIV,2000/8/21,25,194,89,405873,https://digitalhub.fifa.com/transform/c5bc8a38-479f-4c33-b8f6-9ab95bb45b57/FOFANA-Yahia_405873
世界杯小组赛,Group E,2,C?te d'Ivoire,Mohamed KONE,GK,16,CIV,2002/3/7,24,186,78,486259,https://digitalhub.fifa.com/transform/937ed103-c12b-4931-83f1-ee615a67858e/HASSAN-ALTAMBAKTI_403335
世界杯小组赛,Group E,2,C?te d'Ivoire,Alban Lafont,GK,23,CIV,1999/1/23,27,196,85,403090,https://digitalhub.fifa.com/transform/4387ca2a-2c1e-4bee-baad-95e9485a4ba0/LAFONT-Alban_403090
世界杯小组赛,Group E,2,C?te d'Ivoire,Ousmane DIOMANDE,DF,2,CIV,2003/12/4,22,190,94,477802,https://digitalhub.fifa.com/transform/45b55597-6503-4470-a778-af125afb698a/DIOMANDE-Ousmane_477802
世界杯小组赛,Group E,2,C?te d'Ivoire,Ghislain KONAN,DF,3,CIV,1995/12/27,30,176,79,407343,https://digitalhub.fifa.com/transform/8b0c92b7-4756-42a3-8cc8-b997693ff4aa/KONAN-Ghislain_407343
世界杯小组赛,Group E,2,C?te d'Ivoire,Wilfried SINGO,DF,5,CIV,2000/12/25,25,182,80,430854,https://digitalhub.fifa.com/transform/3b02f719-a68a-46ae-a249-e7b6538a5714/SINGO-Wilfried_430854
世界杯小组赛,Group E,2,C?te d'Ivoire,Odilon KOSSOUNOU,DF,7,CIV,2001/1/4,25,191,83,477825,https://digitalhub.fifa.com/transform/c3d01f63-7112-4a0d-a50b-0d85927676e9/KOSSOUNOU-Odilon_477825
世界杯小组赛,Group E,2,C?te d'Ivoire,Christopher OPERI,DF,13,CIV,1997/4/29,29,183,80,486260,https://digitalhub.fifa.com/transform/7ed2ec22-290b-40bb-a4a9-4c3374aa3e91/OPERI-Christopher_486260
世界杯小组赛,Group E,2,C?te d'Ivoire,Guela DOUE,DF,17,CIV,2002/10/17,23,187,88,486317,https://digitalhub.fifa.com/transform/9c597f58-ad63-4248-ac8b-b36e71f7b811/DOUE-Guela_486317
世界杯小组赛,Group E,2,C?te d'Ivoire,Emmanuel AGBADOU,DF,20,CIV,1997/6/17,29,185,95,486268,https://digitalhub.fifa.com/transform/d092f8c9-f80e-40e0-ad73-bfa861784408/AGBADOU-Emmanuel_486268
世界杯小组赛,Group E,2,C?te d'Ivoire,Evan NDICKA,DF,21,CIV,1999/8/20,26,192,85,419172,https://digitalhub.fifa.com/transform/e308dd93-4706-4ed9-80a2-1db8e4a52d6c/PAUGAIN-Wilguens_419172
世界杯小组赛,Group E,2,C?te d'Ivoire,Jean Michael SERI,MF,4,CIV,1991/7/19,34,168,72,335807,https://digitalhub.fifa.com/transform/115c99fd-ddc4-4f97-bc20-2cb7dae80735/SERI-Jean-Michael_335807
世界杯小组赛,Group E,2,C?te d'Ivoire,Seko Fofana,MF,6,CIV,1995/5/7,31,185,83,405175,https://digitalhub.fifa.com/transform/08197d78-88b8-458f-9ad9-de192f25313c/FOFANA-Seko_405175
世界杯小组赛,Group E,2,C?te d'Ivoire,Franck KESSIE,MF,8,CIV,1996/12/19,29,183,90,371609,https://digitalhub.fifa.com/transform/2e649ed1-5e23-4de2-aafc-79fac130f5f0/KESSIE-Franck_371609
世界杯小组赛,Group E,2,C?te d'Ivoire,Ibrahim SANGARE,MF,18,CIV,1997/12/2,28,191,77,430831,https://digitalhub.fifa.com/transform/daeaedd3-2c74-4fef-a968-2247f5ac962e/SANGARE-Ibrahim_430831
世界杯小组赛,Group E,2,C?te d'Ivoire,Parfait GUIAGON,MF,25,CIV,2001/2/22,25,165,70,430834,https://digitalhub.fifa.com/transform/675938a7-c82b-4d9f-8cf8-6e7a42146489/GUIAGON-Parfait_430834
世界杯小组赛,Group E,2,C?te d'Ivoire,Christ Inao OULAI,MF,26,CIV,2006/4/6,20,173,70,514208,https://digitalhub.fifa.com/transform/a1bae10b-b280-4234-81c1-063fa931cd02/OULAI-Christ-Inao_514208
世界杯小组赛,Group E,2,C?te d'Ivoire,Ange-Yoan BONNY,FW,9,CIV,2003/10/25,22,189,83,464103,https://digitalhub.fifa.com/transform/c2bd7f75-2634-437d-9b8e-45d23380a755/BONNY-Ange-Yoan_464103
世界杯小组赛,Group E,2,C?te d'Ivoire,Simon ADINGRA,FW,10,CIV,2002/1/1,24,175,68,477778,https://digitalhub.fifa.com/transform/ba7341af-8a89-4260-9711-37bec1618ff2/ADINGRA-Simon_477778
世界杯小组赛,Group E,2,C?te d'Ivoire,Yan DIOMANDE,FW,11,CIV,2006/11/14,19,180,76,510922,https://digitalhub.fifa.com/transform/4218dafb-b39b-4640-ac2f-e1d9f104aa6a/DIOMANDE-Yan_510922
世界杯小组赛,Group E,2,C?te d'Ivoire,Elye WAHI,FW,12,CIV,2003/1/2,23,181,74,464133,https://digitalhub.fifa.com/transform/088ceea5-0bdc-4615-9fc2-a99fe888fe44/WAHI-Elye_464133
世界杯小组赛,Group E,2,C?te d'Ivoire,Oumar DIAKITE,FW,14,CIV,2003/12/20,22,182,77,477777,https://digitalhub.fifa.com/transform/1c9072f7-1c82-483b-9f41-a749332fff71/DIAKITE-Oumar_477777
世界杯小组赛,Group E,2,C?te d'Ivoire,Amad DIALLO,FW,15,CIV,2002/7/11,23,173,72,430822,https://digitalhub.fifa.com/transform/92354f59-681a-4409-b1eb-0e0744a78da8/DIALLO-Amad_430822
世界杯小组赛,Group E,2,C?te d'Ivoire,Nicolas PEPE,FW,19,CIV,1995/5/29,31,183,75,402261,https://digitalhub.fifa.com/transform/1c7519d2-960c-4d19-83e7-40a155f1a8eb/PEPE-Nicolas_402261
世界杯小组赛,Group E,2,C?te d'Ivoire,Evann GUESSAND,FW,22,CIV,2001/7/1,24,188,82,485675,https://digitalhub.fifa.com/transform/a5543d71-798f-42a0-aef9-201b86bc75c1/GUESSAND-Evann_485675
世界杯小组赛,Group E,2,C?te d'Ivoire,Bazoumana TOURE,FW,24,CIV,2006/3/2,20,178,70,506202,https://digitalhub.fifa.com/transform/fa213cf7-928a-49ab-acc9-b6f5059b188c/TOURE-Bazoumana_506202
世界杯小组赛,Group E,3,Ecuador,Hernan GALINDEZ,GK,1,ECU,1987/3/30,39,189,94,441236,https://digitalhub.fifa.com/transform/679fc90e-2f98-4494-a4dd-f26442fae6d3/GALINDEZ-Hernan_441236
世界杯小组赛,Group E,3,Ecuador,Moises RAMIREZ,GK,12,ECU,2000/9/9,25,185,80,419002,https://digitalhub.fifa.com/transform/3a641146-b759-48d0-983f-b85bb1232cc4/RAMIREZ-Moises_419002
世界杯小组赛,Group E,3,Ecuador,Gonzalo VALLE,GK,22,ECU,1996/2/28,30,186,83,448295,https://digitalhub.fifa.com/transform/d67ebe06-be17-4735-a8a7-9659eb37cf37/VALLE-Gonzalo_448295
世界杯小组赛,Group E,3,Ecuador,Felix TORRES,DF,2,ECU,1997/1/11,29,187,77,402979,https://digitalhub.fifa.com/transform/755ac13c-2122-42ff-b40a-4582be61e59e/TORRES-Felix_402979
世界杯小组赛,Group E,3,Ecuador,Piero HINCAPIE,DF,3,ECU,2002/1/9,24,183,78,424031,https://digitalhub.fifa.com/transform/b8f68e80-3057-4fbf-be1e-8cf885a713e1/HINCAPIE-Piero_424031
世界杯小组赛,Group E,3,Ecuador,Joel ORDONEZ,DF,4,ECU,2004/4/21,22,188,78,463465,https://digitalhub.fifa.com/transform/54a42d16-279a-4566-8c46-ac75d8ea095a/ORDONEZ-Joel_463465
世界杯小组赛,Group E,3,Ecuador,Willian PACHO,DF,6,ECU,2001/10/16,24,188,87,448290,https://digitalhub.fifa.com/transform/cda5e4c5-69a6-46ee-b6d1-230be57c4847/PACHO-Willian_448290
世界杯小组赛,Group E,3,Ecuador,Pervis ESTUPINAN,DF,7,ECU,1998/1/21,28,175,77,389782,https://digitalhub.fifa.com/transform/85df33e2-083f-4cef-9fa2-3a8fc7d29466/ESTUPINAN-Pervis_389782
世界杯小组赛,Group E,3,Ecuador,Angelo PRECIADO,DF,17,ECU,1998/2/18,28,174,74,402974,https://digitalhub.fifa.com/transform/2e9be79f-76b7-4f12-8ba0-c4c21ec8b39d/PRECIADO-Angelo_402974
世界杯小组赛,Group E,3,Ecuador,Jackson POROZO,DF,25,ECU,2000/8/4,25,192,89,419003,https://digitalhub.fifa.com/transform/17ccf39c-5480-439a-be5f-90045606ca37/POROZO-Jackson_419003
世界杯小组赛,Group E,3,Ecuador,Yaimar MEDINA,DF,26,ECU,2004/11/5,21,173,60,463489,https://digitalhub.fifa.com/transform/84400276-88b5-4054-b0fb-f8206f384291/MEDINA-Yaimar_463489
世界杯小组赛,Group E,3,Ecuador,Jordy ALCIVAR,MF,5,ECU,1999/8/5,26,168,59,419005,https://digitalhub.fifa.com/transform/7f7492dc-4cdc-41c2-8acc-91ccad4d9664/ALCIVAR-Jordy_419005
世界杯小组赛,Group E,3,Ecuador,Anthony VALENCIA,MF,8,ECU,2003/7/21,22,173,66,448299,https://digitalhub.fifa.com/transform/b21d23fa-c045-4f5d-9721-59740e4006b2/VALENCIA-Anthony_448299
世界杯小组赛,Group E,3,Ecuador,Kendry PAEZ,MF,10,ECU,2007/5/4,19,178,70,463495,https://digitalhub.fifa.com/transform/ee18ba2f-5e31-4e33-8739-f0d59033c409/PAEZ-Kendry_463495
世界杯小组赛,Group E,3,Ecuador,Alan MINDA,MF,14,ECU,2003/5/14,23,174,61,463468,https://digitalhub.fifa.com/transform/b43c46a0-9e62-4202-b9e4-c625b36afc16/MINDA-Alan_463468
世界杯小组赛,Group E,3,Ecuador,Pedro VITE,MF,15,ECU,2002/3/9,24,172,69,424036,https://digitalhub.fifa.com/transform/0eceba19-8ceb-4cbc-ba7c-81b158e277bd/VITE-Pedro_424036
世界杯小组赛,Group E,3,Ecuador,Denil CASTILLO,MF,18,ECU,2004/3/24,22,189,76,463476,https://digitalhub.fifa.com/transform/60f9a338-e7cb-45a0-a0ae-926740080bec/CASTILLO-Denil_463476
世界杯小组赛,Group E,3,Ecuador,Alan FRANCO,MF,21,ECU,1998/8/21,27,175,77,389784,https://digitalhub.fifa.com/transform/59ffe3d1-0963-44f5-861e-9eb6590d8fce/FRANCO-Alan_389784
世界杯小组赛,Group E,3,Ecuador,Moises CAICEDO,MF,23,ECU,2001/11/2,24,178,80,428885,https://digitalhub.fifa.com/transform/ae32bbc5-09f0-4743-ae0a-5b80461bdc79/CAICEDO-Moises_428885
世界杯小组赛,Group E,3,Ecuador,John YEBOAH,FW,9,ECU,2000/6/23,26,170,72,405920,https://digitalhub.fifa.com/transform/1fc64d7c-4383-4c61-bd76-f22f22b91a8f/YEBOAH-John_405920
世界杯小组赛,Group E,3,Ecuador,Kevin RODRIGUEZ,FW,11,ECU,2000/3/4,26,190,82,448310,https://digitalhub.fifa.com/transform/c35d8b13-4ad6-45d8-853e-8d7f6bd98214/RODRIGUEZ-Kevin_448310
世界杯小组赛,Group E,3,Ecuador,Enner VALENCIA,FW,13,ECU,1989/11/4,36,177,75,373400,https://digitalhub.fifa.com/transform/4688cb2a-6446-4439-ba5f-e4db7b5a18c5/VALENCIA-Enner_373400
世界杯小组赛,Group E,3,Ecuador,Jordy CAICEDO,FW,16,ECU,1997/11/18,28,186,87,402985,https://digitalhub.fifa.com/transform/d4d93e2b-74aa-4bbf-89b2-22ebff655348/CAICEDO-Jordy_402985
世界杯小组赛,Group E,3,Ecuador,Gonzalo PLATA,FW,19,ECU,2000/11/1,25,178,75,419020,https://digitalhub.fifa.com/transform/743cc231-ab9e-45b7-8d59-ce8655280ae1/PLATA-Gonzalo_419020
世界杯小组赛,Group E,3,Ecuador,Nilson ANGULO,FW,20,ECU,2003/6/19,23,184,70,448312,https://digitalhub.fifa.com/transform/b90df9f2-8054-4d40-b375-f7728a31a069/ANGULO-Nilson_448312
世界杯小组赛,Group E,3,Ecuador,Jeremy AREVALO,FW,24,ECU,2005/3/19,21,182,90,514326,https://digitalhub.fifa.com/transform/9c839f83-e77a-4938-a764-95685591b367/AREVALO-Jeremy_514326
世界杯小组赛,Group G,2,Egypt,MOHAMED ELSHENAWY,GK,1,EGY,1988/12/18,37,191,90,408948,https://digitalhub.fifa.com/transform/5bfa85ca-3349-4143-9afa-1b5a43ac8c54/MOHAMED-ELSHENAWY_408948
世界杯小组赛,Group G,2,Egypt,MAHDY SOLIMAN,GK,16,EGY,1987/6/8,39,189,90,395860,https://digitalhub.fifa.com/transform/90b92e39-b717-40c5-a2ab-05616ca017c8/MAHDY-SOLIMAN_395860
世界杯小组赛,Group G,2,Egypt,MOSTAFA SHOUBIR,GK,23,EGY,2000/5/15,26,195,92,416906,https://digitalhub.fifa.com/transform/0fa52c2d-3a6c-49cf-ac83-ddc4a08d57e3/MOSTAFA-SHOUBIR_416906
世界杯小组赛,Group G,2,Egypt,MOHAMED ALAA,GK,26,EGY,1999/1/1,27,188,76,512079,https://digitalhub.fifa.com/transform/6a209a18-784b-401d-af68-4c768a814a36/MOHAMED-ALAA_512079
世界杯小组赛,Group G,2,Egypt,YASSER IBRAHIM,DF,2,EGY,1993/2/10,33,185,82,369267,https://digitalhub.fifa.com/transform/028afc10-053b-443f-819c-d95ae0d46a55/YASSER-IBRAHIM_369267
世界杯小组赛,Group G,2,Egypt,MOHAMED HANY,DF,3,EGY,1996/2/2,30,175,70,408950,https://digitalhub.fifa.com/transform/04f8ef57-e16f-49de-b7d4-ad430c4c430c/MOHAMED-HANY_408950
世界杯小组赛,Group G,2,Egypt,HOSSAM ABDELMAGUID,DF,4,EGY,2001/4/30,25,193,85,483182,https://digitalhub.fifa.com/transform/406ef52d-c003-4108-b9c2-126b4ad8354b/HOSSAM-ABDELMAGUID_483182
世界杯小组赛,Group G,2,Egypt,RAMY RABIA,DF,5,EGY,1993/5/20,33,183,77,344661,https://digitalhub.fifa.com/transform/403c9e6d-efe6-4917-86ea-c7eddc442208/RABIA-Ramy_344661
世界杯小组赛,Group G,2,Egypt,MOHAMED ABDELMONEIM,DF,6,EGY,1999/2/1,27,184,75,416902,https://digitalhub.fifa.com/transform/5e36f80b-9432-444f-ac25-10cf792c341f/MOHAMED-ABDELMONEIM_416902
世界杯小组赛,Group G,2,Egypt,AHMED FATOUH,DF,13,EGY,1998/3/22,28,177,70,430477,https://digitalhub.fifa.com/transform/c22759e9-6346-4cb7-8611-74074421be7f/AHMED-FATOUH_430477
世界杯小组赛,Group G,2,Egypt,KARIM HAFEZ,DF,15,EGY,1996/3/12,30,174,74,407022,https://digitalhub.fifa.com/transform/2cd7ce59-aa56-4018-8d9c-5628a27e13c4/KARIM-HAFEZ_407022
世界杯小组赛,Group G,2,Egypt,TAREK ALAA,DF,24,EGY,2002/1/5,24,178,65,506124,https://digitalhub.fifa.com/transform/9bbd4a65-1d5e-4383-b5d5-cf60bbdcec1d/TAREK-ALAA_506124
世界杯小组赛,Group G,2,Egypt,EMAM ASHOUR,MF,8,EGY,1998/2/20,28,180,77,430482,https://digitalhub.fifa.com/transform/6d203b10-285b-4800-b448-e34d2b3a3e09/EMAM-ASHOUR_430482
世界杯小组赛,Group G,2,Egypt,MOSTAFA ZICO,MF,11,EGY,1997/4/27,29,179,73,483161,https://digitalhub.fifa.com/transform/f417b544-6a3c-46a9-af78-d43d6cedcad1/MOSTAFA-ZICO_483161
世界杯小组赛,Group G,2,Egypt,HAMDY FATHY,MF,14,EGY,1994/9/29,31,183,80,429095,https://digitalhub.fifa.com/transform/2de277f5-cea7-47f9-9635-f9fb3a205c2a/HAMDY-FATHY_429095
世界杯小组赛,Group G,2,Egypt,MOHANAD LASHIN,MF,17,EGY,1996/5/29,30,186,85,433469,https://digitalhub.fifa.com/transform/55be7619-52f3-481a-8542-9832ba7c8e7d/MOHANAD-LASHIN_433469
世界杯小组赛,Group G,2,Egypt,NABIL DONGA,MF,18,EGY,1996/4/6,30,179,74,433466,https://digitalhub.fifa.com/transform/01dc0ada-6dcb-4f73-b81e-4103640705a8/NABIL-DONGA_433466
世界杯小组赛,Group G,2,Egypt,MARAWAN ATTIA,MF,19,EGY,1998/8/1,27,176,80,461788,https://digitalhub.fifa.com/transform/cf051f82-c8a8-4328-9439-2ab64f616b83/MARAWAN-ATTIA_461788
世界杯小组赛,Group G,2,Egypt,MAHMOUD SABER,MF,21,EGY,2001/7/30,24,170,75,483183,https://digitalhub.fifa.com/transform/f1c9f887-0fab-447c-9c91-33aba2c2dbe1/MAHMOUD-SABER_483183
世界杯小组赛,Group G,2,Egypt,TREZEGUET,FW,7,EGY,1994/10/1,31,181,77,363863,https://digitalhub.fifa.com/transform/fd2622c8-9bd4-40f0-bb16-6b3311bb1811/TREZEGUET_363863
世界杯小组赛,Group G,2,Egypt,HAMZA ABDELKARIM,FW,9,EGY,2008/1/1,18,182,76,495488,https://digitalhub.fifa.com/transform/e8c1e0e0-66da-4bfb-ace2-e040710da50c/HAMZA-ABDELKARIM_495488
世界杯小组赛,Group G,2,Egypt,MOHAMED SALAH,FW,10,EGY,1992/6/15,34,175,79,344654,https://digitalhub.fifa.com/transform/8d5236b8-acac-4946-af8e-5b007bcfa284/MOHAMED-SALAH_344654
世界杯小组赛,Group G,2,Egypt,Haissem HASSAN,FW,12,EGY,2002/2/8,24,175,80,424106,https://digitalhub.fifa.com/transform/88bef92d-4236-4445-9d6f-c2674e218a60/HAISSEM-HASSAN_424106
世界杯小组赛,Group G,2,Egypt,IBRAHIM ADEL,FW,20,EGY,2001/4/23,25,178,70,430465,https://digitalhub.fifa.com/transform/7486073a-56eb-4963-9bca-1036e8b187f0/IBRAHIM-ADEL_430465
世界杯小组赛,Group G,2,Egypt,OMAR MARMOUSH,FW,22,EGY,1999/2/7,27,180,80,430476,https://digitalhub.fifa.com/transform/a3f5a36a-57b4-407b-a07e-7b5f6d19af5b/OMAR-MARMOUSH_430476
世界杯小组赛,Group G,2,Egypt,ZIZO,FW,25,EGY,1996/1/10,30,175,76,433461,https://digitalhub.fifa.com/transform/93b944be-7bd7-4c1d-807e-7b8e2cbc2a12/ZIZO_433461
世界杯小组赛,Group L,1,England,Jordan PICKFORD,GK,1,ENG,1994/3/7,32,185,77,336022,https://digitalhub.fifa.com/transform/5f9b3bbf-edb5-4956-bce7-2d0a8e77f6ab/PICKFORD-Jordan_336022
世界杯小组赛,Group L,1,England,Dean Henderson,GK,13,ENG,1997/3/12,29,188,85,403046,https://digitalhub.fifa.com/transform/acb3f8de-1176-40ef-99c2-e671120fbde0/HENDERSON-Dean_403046
世界杯小组赛,Group L,1,England,James TRAFFORD,GK,23,ENG,2002/10/10,23,197,83,485080,https://digitalhub.fifa.com/transform/f923135f-5d11-46cb-90a3-517f74cb4c76/TRAFFORD-James_485080
世界杯小组赛,Group L,1,England,Ezri KONSA,DF,2,ENG,1997/10/23,28,180,76,403049,https://digitalhub.fifa.com/transform/54b28723-92e1-42e8-97b5-162f5099cf60/KONSA-Ezri_403049
世界杯小组赛,Group L,1,England,Nico OREILLY,DF,3,ENG,2005/3/21,21,177,74,463780,https://digitalhub.fifa.com/transform/6a6be1c6-3496-49ba-81ca-354bdb2f404c/OREILLY-Nico_390761
世界杯小组赛,Group L,1,England,John STONES,DF,5,ENG,1994/5/28,32,188,82,369434,https://digitalhub.fifa.com/transform/bb455f6a-d793-44ef-92b8-bd1aff6d14d6/STONES-John_369434
世界杯小组赛,Group L,1,England,Marc GUEHI,DF,6,ENG,2000/7/13,25,183,82,405841,https://digitalhub.fifa.com/transform/c9686f87-8abd-45fb-a1e0-321ee8470dd6/GUEHI-Marc_405841
世界杯小组赛,Group L,1,England,Trevoh CHALOBAH,DF,12,ENG,1999/7/5,26,192,86,439691,https://digitalhub.fifa.com/transform/7fa89d9b-c648-4789-ab66-f00a2fbf56df/CHALOBAH-Trevoh_439691
世界杯小组赛,Group L,1,England,Dan BURN,DF,15,ENG,1992/5/9,34,201,87,494345,https://digitalhub.fifa.com/transform/ac44e40e-162d-4459-94b6-8971a032e371/BURN-Dan_494345
世界杯小组赛,Group L,1,England,Reece JAMES,DF,24,ENG,1999/12/8,26,180,92,439641,https://digitalhub.fifa.com/transform/1ffcc3c3-fdf3-4b61-9ac5-299213771a62/JAMES-Reece_439641
世界杯小组赛,Group L,1,England,Djed SPENCE,DF,25,ENG,2000/8/9,25,184,71,506329,https://digitalhub.fifa.com/transform/03356baa-b368-4192-bf86-ad3033e57ad2/SPENCE-Djed_506329
